id,name,salary,owner
8474037,James Van Riemsdyk,7.000,greg
8475164,Jakob Silfverberg,5.250,greg
8480808,Jett Woo,0.861,greg
8477365,Connor Clifton,1.000,greg
8477831,Pheonix Copley,1.100,greg
8470794,Joe Pavelski,7.000,jul
8477958,Nicolay Goldobin,0.000,jul
8474056,P.K. Subban,9.000,jul
8474207,Nick Holden,0.000,jul
8474550,Antti Niemi,0.000,jul
8470595,Eric Staal,3.250,Alex
8477505,Alexander Wennberg,2.250,Alex
8471873,Anton Stralman,5.50,Alex
8478906,Markus Nutivaara,2.700,Alex
8470147,Curtis McElhinney,1.300,Alex
8479986,Kole Lind,0.892,Miguel
8471707,James Neal,5.750,Miguel
8475764,Cam Fowler,6.500,Miguel
8475753,Justin Faulk,6.500,Miguel
8467950,Craig Anderson,0.000,Miguel
8475907,Michael Ferland,3.500,Francis
8470604,Jeff Carter,5.273,Francis
8479458,Nikita Zaitsev,4.500,Francis
8477851,Jordan Oesterle,1.400,Francis
8476234,Keith Kinkaid,0.875,Francis
8476889,Radek Faksa,3.250,Jo Pion
8477952,Robbi Fabbri,2.950,Jo Pion
8476850,Ryan Murray,4.600,Jo Pion
8474602,Justin Schultz,4.000,Jo Pion
8475839,Louis Domingue,0.700,Jo Pion
8471276,David Krejci,7.250,Jo Veilleux
8475184,Chris Kreider,6.500,Jo Veilleux
8479980,Nicolas Hague,0.792,Jo Veilleux
8480157,Calle Rosen,0.750,Jo Veilleux
8475195,Anders Nilsson,2.600,Jo Veilleux
8471685,Anze Kopitar,10.000,Jimmy
8479424,German Rubtsov,0.894,Jimmy
8477476,Arturri Lehkonen,2.400,Jimmy
8476919,Chris Tierney,0.000,Jimmy
8470966,Mark Giordano,6.750,Jimmy
8478453,Connor Hobbs,0.000,Jimmy
8477474,Madison Bowey,0.000,Jimmy
8476437,Victor Rask,4.000,Luca
8480965,Antti Suomela,0.700,Luca
8475181,Nick Leddy,5.500,Luca
8475171,Oliver Ekman-Larsson,8.250,Luca
8479589,Colton Point,0.925,Luca
8478508,Yakov Trenin,0.725,Andre
8478075,Anders Bjork,1.600,Andre
8474716,Jared Spurgeon,7.575,Andre
8475200,Dmitri Orlov,5.100,Andre
8476903,Jon Gillies,0.700,Andre